user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.6989989096747867,0.0,0.0
user21,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.704587742100813,0.8,1.0
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.7242886660989325,0.0,0.0
user21,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.0,0.0,0.0
user21,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user21,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.6033333333333334,0.0,0.0
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.6466666666666666,0.0,0.0
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.6805724806858328,0.020833333333333332,0.0
user21,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.6814472675323486,0.12916666666666668,0.0
user21,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.7616302371025085,0.6291666666666667,0.8
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.7056836859096403,0.0,0.0
user23,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.7941420687366509,0.03333333333333333,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.7781346334361627,0.0,0.0
user23,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user23,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.7,0.0,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.7333333333333333,0.0,0.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.7567376523913855,0.0,0.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.823258638381958,0.004166666666666667,0.0
user23,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.5827480554580688,0.175,0.05
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.6632297465488074,0.0,0.0
user29,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.5550197404292313,0.19583333333333333,0.0
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.6864259717283228,0.0,0.0
user29,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,0.8,0.016666666666666666,0.0
